id,nametitle,firstnames,lastname,namesuffix,aliases,gradschool,gradschool name,graddegree,gradyear,facultyschool,facultytitle,facultydept,facultyyear
,,Njelle,Hamilton,,,310, Brandeis University,Ph.D.,2012,57,Assistant Professor Department of English; and Carter G. Woodson Institute for African and African-American Studies ,English,
,,Greg,Arone,,,262, Brown University,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,,Hadley,,,262, Brown University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Sheetal,Sekhri,,,262, Brown University,Doctor of Philosophy (PhD),,57,Assistant Professor,Economics,
,,John,Stankovic,,,262, Brown University,PhD in Computer Science,,57,BP America Professor,Computer Science,
,,Charles,Holt,,,261, Carnegie Mellon University,Doctor of Philosophy (PhD),,57,A Willis Robertson Professor of Political Economy ,Economics,
,,Yanjun,Qi,,,261, Carnegie Mellon University,PhD in Computer Science,,57,Assistant Professor,Computer Science,
,,Cynthia,Wall,,,122, Chicago,Ph.D.,1992,57,Professor and Chair,English,
,,Anna,Brickhouse,,,246, Columbia,Ph.D.,1998,57,Associate Professor,English,
,,Susan,Fraiman,,,246, Columbia,Ph.D.,1988,57,Professor,English,
,,,Guroian,,,, Drew University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,,Ochs,,,, Drew University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Maurice,Wallace,,,20, Duke University,Ph.D.,1995,57,Associate Professor,English,
,,Abdelmalek,Abdesselam,,,, Ecole Polytechnique,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,Lee,Coppock,,,, George Mason University,Doctor of Philosophy (PhD),,57,Associate Professor,Economics,
,,A.C.,Spearing,,,, h.c. Lund Sweden, Ph.D.,2011,57,William R. Kenan,English,
,,Paul,Cantor,,,22, Harvard,Ph.D.,1971,57,Clifton Waller Barrett Professor,English,
,,Elizabeth,Fowler,,,22, Harvard,Ph.D.,1992,57,Associate Professor,English,
,,Stephen,Hequembourg,,,22, Harvard,Ph.D.,2011,57,ACLS Fellow,English,
,,,Halvorson-Taylor,,,22, Harvard University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,John,Imbrie,,,22, Harvard University,Doctor of Philosophy (PhD),,57,Professor & Associate Chair,Mathematics,
,,,Jones,,,22, Harvard University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,,Nair,,,22, Harvard University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,,Schaeffer,,,22, Harvard University,Doctor of Philosophy (PhD),2000,57, ,Religious Studies,
,,,Schmidt,,,22, Harvard University,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Eric ,Van Wincoop,,,22, Harvard University,Doctor of Philosophy (PhD),,57,Robert P Black Research Professor of Economics,Economics,
,,,Hudson,,,284, Indiana University System : Indiana University-Bloomington,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Peter,Abramenko,,,, Johann Wolfgang Goethe-Universitat,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,Katharine,Maus,,,244, Johns Hopkins,Ph.D.,1982,57,James Branch Cabell Professor,English,
,,,Warren,,,244, Johns Hopkins University, Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,,Biemann,,,, Karl-Franzens Universitat Graz,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Devin,Donovan,,,318, Lehigh University,Ph.D.,2013,57,Lecturer in English,English,
,,Leora,Friedberg,,,195, Massachusetts Institute of Technology,Doctor of Philosophy,,57,Associate Professor,Economics,
,,Michael,Hill,,,195, Massachusetts Institute of Technology,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,William,Johnson,,,195, Massachusetts Institute of Technology,Doctor of Philosophy (PhD),,57,Georgia S. Bankard Professor,Economics,
,,Kenneth,Elzinga,,,109, Michigan State University,Doctor of Philosophy (Ph.D.),,57,Professor,Economics,
,,Barbara,MacCluer,,,109, Michigan State University,Doctor of Philosophy (PhD),,57,Professor Emeritus,Mathematics,
,,Thomas,Mark,,,109, Michigan State University,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,David,Evans,,,195, MIT,PhD in Computer Science,,57,Professor,Computer Science,
,,abhi,shelat3,,,195, MIT,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Rita,Felski,,,, Monash University,Ph.D.,1987,57,William R Kenan  New Literary History,English,
,,Andrei,Rapinchuk,,,, National Academy of Sciences,Doctor of Philosophy (PhD),,57,McConnell-Bernard Professor of Mathematics,Mathematics,
,,Mark,Sherriff,,,103, NC State University,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Andrew,Kloosterman,,,72, New York University,Doctor of Philosophy (PhD),,57,Assistant Professor,Economics,
,,Ariell,Reshef,,,72, New York University,Doctor of Philosophy (PhD),,57,Assistant Professor,Economics,
,,James,Seitz,,,72, New York University,Ph.D.,1990,57,Associate Professor and Director,English,
,,John,Knight,,,, Newcastle Upon Tyne,PhD in Computer Science,,57,Professor,Computer Science,
,,Federico,Ciliberto,,,237, Northwestern University,Doctor of Philosophy (PhD),,57,Associate Professor and Director of Graduate Studies,Economics,
,,Alison,Booth,,,181, Princeton,Ph.D.,1986,57,Professor,English,
,,Connelly,Barnes,,,181, Princeton University,PhD in Computer Science,,57,Assistant Professor,Computer Science,
,,Jason,Lawrence,,,181, Princeton University,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Mohammad,Mahmoody,,,181, Princeton University,PhD in Computer Science,,57,Assistant Professor,Computer Science,
,,John,McLaren,,,181, Princeton University,Doctor of Philosophy (PhD),,57,Professor,Economics,
,,Kevin,Skadron,,,181, Princeton University,PhD in Computer Science,,57,Professor and Department Chair,Computer Science,
,,Simon,Anderson,,,, Queen's University at Kingston,Doctor of Philosophy (PhD),,57,Commonwealth Professor of Economics   ,Economics,
,,Edgar,Olsen,,,234, Rice University,Doctor of Philosophy (PhD),,57,Professor,Economics,
,,Michael,Levenson,,,232, Stanford,Ph.D.,1979,57,William B. Christian Professor,English,
,,Victor,Luftig,,,232, Stanford,Ph.D.,1988,57,Professor,English,
,,Karen,Chase,,,232, Stanford University,Ph.D.,1979,57,Linden Kent Memorial Professor,English,
,,Amalia,Miller,,,232, Stanford University,Doctor of Philosophy (PhD),,57,Associate Professor,Economics,
,,David,Mills,,,232, Stanford University,Doctor of Philosophy (PhD),,57,Professor,Economics,
,,Brad,Pasanek,,,232, Stanford University,Ph.D.,2006,57,Assistant Professor,English,
,,Peter,Troyan,,,232, Stanford University,Doctor of Philosophy,,57,Assistant Professor,Economics,
,,Donald,Ramirez,,,296, Tulane University,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,Jessica,Feldman,,,1, U.C. Berkeley,Ph.D.,1976,57,Professor,English,
,,Gabriel,Robins,,,2, UCLA,PhD in Computer Science,,57,Professor,Computer Science,
,,Jack,Davidson,,,229, University of Arizona,PhD in Computer Science,,57,Professor,Computer Science,
,,Karim,Chalak,,,9, University of California  San Diego,Ph.D. in Economics,,57,Assistant Professor,Economics,
,,Sylvia,Chong,,,1, University of California Berkeley,Ph.D.,2004,57,Associate Professor,English,
,,Ira,Herbst,,,1, University of California Berkeley,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,Westley,Weimer,,,1, University of California Berkeley,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Kamin,Whitehouse,,,1, University of California Berkeley,PhD in Computer Science,,57,Commonwealth Associate Professor,Computer Science,
,,Mrinalini,Chakravorty,,,7, University of California Irvine,Ph.D.,2005,57,Associate Professor,English,
,,David,Sherman,,,2, University of California Los Angeles,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,Christian,Gromoll,,,9, University of California San Diego,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,Slava,Krushkal,,,9, University of California San Diego,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,Tai,Melcher,,,9, University of California San Diego,Doctor of Philosophy (PhD),,57,Associate Professor,Mathematics,
,,James,Harrigan,,,2, University of California System : Los Angeles,Doctor of Philosophy (PhD),,57,Professor,Economics,
,,Maxim,Engers,,,2, University of California System: Los Angeles,Doctor of Philosophy (Ph.D),,57,Professor,Economics,
,,,Bouchard,,,122, University of Chicago,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,John O,Brien,,,122, University of Chicago,Ph.D.,1995,57,NEH Daniels Family Distinguished Teaching Professor,English,
,,Walter,Jost,,,122, University of Chicago,Ph.D.,1985,57,Professor,English,
,,Nicholas,Kuhn,,,122, University of Chicago,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,Ron,Michener,,,122, University of Chicago,Doctor of Philosophy (PhD),,57,Associate Professor and Director of Undergradute Studies,Economics,
,,Victoria,Olwell,,,122, University of Chicago,Ph.D.,2003,57,Associate Professor,English,
,,Karen,Parshall,,,122, University of Chicago,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,,Ray,,,122, University of Chicago,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Marlon,Ross,,,122, University of Chicago,Ph.D.,1983,57,Professor,English,
,,,Spittler,,,122, University of Chicago,PhD,,57, ,Religious Studies,
,,Tom,Horton,,,, University of Edinburgh,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,,Shuve,,,, University of Edinburgh,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Alfred,Weaver,,,117, University of Illinois,PhD in Computer Science,,57,Professor,Computer Science,
,,Claire,Chantell,,,117, University of Illinois at Urbana-Champaign,Ph.D.,2000,57,Lecturer,English,
,,Jon D,Errico,,,117, University of Illinois at Urbana-Champaign,Ph.D.,2000,57,Assistant Professor,English,
,,Andrew,Grimshaw,,,117, University of Illinois Urbana-Champaign,PhD,,57,Professor,Computer Science,
,,Hongning,Wang,,,117, University of Illinois Urbana-Champaign,PhD in Computer Science,,57,Assistant Professor,Computer Science,
,,Latchezar,Popov,,,211, University of Iowa,Doctor of Philosophy (PhD),,57,Assistant Professor,Economics,
,,Marty,Humphrey,,,196, University of Massachusetts,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Mark,Floryan,,,196, University of Massachusetts Amherst,PhD in Computer Science,,57,Lecturer,Computer Science,
,,,Hart,,,, University of Melbourne,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Sarah,Turner,,,108, University of Michigan System : Ann Arbor,Doctor of Philosophy (PhD),,57,Department Chair ,Economics,
,,James,Cohoon,,,186, University of Minnesota,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Kate,Kostelnik,,,135, University of Nebraska-Lincoln,Ph.D.,2013,57,Lecturer in English,English,
,,,Nemec,,,144, University of Pennsylvania,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Emily,Ogden,,,144, University of Pennsylvania,Ph.D.,2010,57,Assistant Professor,English,
,,Leonard,Mirman,,,96, University of Rochester,Doctor of Philosophy (PhD),,57,Paul G McIntire Professor of Economics,Economics,
,,Toshihiko,Mukoyama,,,96, University of Rochester,Doctor of Philosophy (PhD),,57,Associate Professor,Economics,
,,Jeffrey,Holt,,,49, University of Texas,Doctor of Philosophy (PhD),,57,Professor,Mathematics,
,,,Hedstrom,,,49, University of Texas System : Austin,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Worthy,Martin,,,49, University of Texas-Austin,PhD in Computer Science,,57,Associate Professor,Computer Science,
,,Paul,Broyles,,,57, University of Virginia,Ph.D.,2014,57,Postdoctoral Preceptor,English,
,,,Geddes,,,57, University of Virginia,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Kristin,Gilger,,,57, University of Virginia,Ph.D.,2014,57,Lecturer,English,
,,Audrey,Golden,,,57, University of Virginia,Ph.D.,2014,57,Postdoctoral Preceptor,English,
,,Madigan,Haley,,,57, University of Virginia,Ph.D.,2014,57,Postdoctoral Preceptor,English,
,,,Hoehler-Fatton,,,57, University of Virginia,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Sarah,Ingle,,,57, University of Virginia,Ph.D.,2014,57,Lecturer,English,
,,Thomas,Kriete,,,57, University of Virginia,Doctor of Philosophy (PhD),,57,Professor Emeritus,Mathematics,
,,Rennie,Mapp,,,57, University of Virginia,PhD,2009,57,Lecturer,English,
,,,Marsh,,,57, University of Virginia,Doctor of Philosophy (PhD),1989,57, ,Religious Studies,
,,,Mohrmann,,,57, University of Virginia,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Bethany,Nowviskie,,,57, University of Virginia,Ph.D.,2004,57,Research Associate Professor of Digital Humanities,English,
,,J. Frank,Papovich,,,57, University of Virginia,Ph.D.,1984,57,Lecturer and Assistant Dean,English,
,,,Portmann,,,57, University of Virginia,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Eric,Rettberg,,,57, University of Virginia,Ph.D.,2012,57,Shannon Fellow,English,
,,Caroline,Rody,,,57, University of Virginia,Ph.D.,1995,57,Professor,English,
,,Michael Eric,Spiegel,,,57, University of Virginia,Ph.D.,2013,57,Postdoctoral Preceptor,English,
,,Andrew,Stauffer,,,57, University of Virginia,Ph.D.,1998,57,Associate Professor,English,
,,Luther,Tychonievich,,,57, University of Virginia,PhD in Computer Science,,57,Lecturer,Computer Science,
,,Ann,Mazur,,,57, University of Virginia ,Ph.D.,2014,57,Shannon Fellow,English,
,,,Lang,,,24, University of Washington,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,Kevin,Sullivan,,,24, University of Washington,PhD in Computer Science,,57,Associate Professor and Endowed Faculty Fellow,Computer Science,
,,,Germano,,,16, University of Wisconsin,Doctor of Philosophy (PhD),,57, ,Religious Studies,
,,John,Pepper,,,16, University of Wisconsin System : Madison,Doctor of Philosophy (PhD),,57,Professor,Economics,
,,Christopher,Krentz,,,57, Virginia,Ph.D.,2002,57,Associate Professor,English,
,,Irena,Lasiecka,,,, Warsaw University,Doctor of Philosophy (PhD),,57,Professor Emeritus,Mathematics,
,,David,Vander Meulen,,,16, Wisconsin,Ph.D.,1981,57,Professor,English,
